Genero,Nombre Pelicula,Año estreno,País,Valoración FA,Director,Cantidad Votaciones,Reparto
Belico,Hermanos de sangre (Miniserie de TV),2001,Estados Unidos,"8,5","Stephen Ambrose (Creador), David Frankel, Tom Hanks",57.141 ,"Damian Lewis, Ron Livingston, Rick Gomez, Scott Grimes, Donnie Wahlberg, Michael Cudlitz, James Madio, Dexter Fletcher, Neal McDonough ..."
Belico,Senderos de gloria ,1957,Estados Unidos,"8,4",Stanley Kubrick,53.843 ,"Damian Lewis, Ron Livingston, Rick Gomez, Scott Grimes, Donnie Wahlberg, Michael Cudlitz, James Madio, Dexter Fletcher, Neal McDonough ..."
Belico,La condición humana III: La plegaria del soldado ,1961,Japón,"8,3",Masaki Kobayashi,2.227 ,"Damian Lewis, Ron Livingston, Rick Gomez, Scott Grimes, Donnie Wahlberg, Michael Cudlitz, James Madio, Dexter Fletcher, Neal McDonough ..."
Belico,Apocalypse Now ,1979,Estados Unidos,"8,2",Francis Ford Coppola,104.639 ,"Damian Lewis, Ron Livingston, Rick Gomez, Scott Grimes, Donnie Wahlberg, Michael Cudlitz, James Madio, Dexter Fletcher, Neal McDonough ..."
Belico,"Roma, ciudad abierta ",1945,Italia,"8,2",Roberto Rossellini,15.730 ,"Damian Lewis, Ron Livingston, Rick Gomez, Scott Grimes, Donnie Wahlberg, Michael Cudlitz, James Madio, Dexter Fletcher, Neal McDonough ..."
Belico,La chaqueta metálica ,1987,Reino Unido,"8,2",Stanley Kubrick,119.968 ,"Damian Lewis, Ron Livingston, Rick Gomez, Scott Grimes, Donnie Wahlberg, Michael Cudlitz, James Madio, Dexter Fletcher, Neal McDonough ..."
Belico,Code Geass: Lelouch of the Rebellion R2 (Serie de TV),2008,Japón,"8,1",Goro Taniguchi,2.437 ,"Damian Lewis, Ron Livingston, Rick Gomez, Scott Grimes, Donnie Wahlberg, Michael Cudlitz, James Madio, Dexter Fletcher, Neal McDonough ..."
Belico,La condición humana I: No hay amor más grande ,1959,Japón,"8,1",Masaki Kobayashi,2.957 ,"Damian Lewis, Ron Livingston, Rick Gomez, Scott Grimes, Donnie Wahlberg, Michael Cudlitz, James Madio, Dexter Fletcher, Neal McDonough ..."
Belico,La condición humana II: El camino a la eternidad ,1959,Japón,"8,1",Masaki Kobayashi,2.312 ,"Damian Lewis, Ron Livingston, Rick Gomez, Scott Grimes, Donnie Wahlberg, Michael Cudlitz, James Madio, Dexter Fletcher, Neal McDonough ..."
Belico,Ran ,1985,Japón,"8,1",Akira Kurosawa,26.663 ,"Damian Lewis, Ron Livingston, Rick Gomez, Scott Grimes, Donnie Wahlberg, Michael Cudlitz, James Madio, Dexter Fletcher, Neal McDonough ..."
Belico,El submarino (Miniserie de TV),1985,Alemania del Oeste (RFA),"8,0",Wolfgang Petersen,83 ,"Damian Lewis, Ron Livingston, Rick Gomez, Scott Grimes, Donnie Wahlberg, Michael Cudlitz, James Madio, Dexter Fletcher, Neal McDonough ..."
Belico,La tumba de las luciérnagas ,1988,Japón,"8,0",Isao Takahata,38.521 ,"Damian Lewis, Ron Livingston, Rick Gomez, Scott Grimes, Donnie Wahlberg, Michael Cudlitz, James Madio, Dexter Fletcher, Neal McDonough ..."
Belico,Blackadder Goes Forth (Serie de TV),1989,Reino Unido,"8,0","Richard Curtis (Creador), Ben Elton (Creador), Richard Boden",131 ,"Damian Lewis, Ron Livingston, Rick Gomez, Scott Grimes, Donnie Wahlberg, Michael Cudlitz, James Madio, Dexter Fletcher, Neal McDonough ..."
Belico,La batalla de Argel ,1966,Italia,"8,0",Gillo Pontecorvo,5.602 ,"Damian Lewis, Ron Livingston, Rick Gomez, Scott Grimes, Donnie Wahlberg, Michael Cudlitz, James Madio, Dexter Fletcher, Neal McDonough ..."
Belico,El cazador ,1978,Estados Unidos,"8,0",Michael Cimino,48.164 ,"Damian Lewis, Ron Livingston, Rick Gomez, Scott Grimes, Donnie Wahlberg, Michael Cudlitz, James Madio, Dexter Fletcher, Neal McDonough ..."
